Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label,,,,,,,,,,,,
Manchild,Manchild,Sabrina Carpenter,,05/06/2025,213645,85,pop,Island Records,,,,,,,,,,,,
DULL,NEVER ENOUGH,Turnstile,,06/06/2025,138651,61,"hardcore punk,hardcore",Roadrunner Records,,,,,,,,,,,,
Times Like These,Addison,Addison Rae,,06/06/2025,232597,67,,Columbia,,,,,,,,,,,,
God Went Crazy,God Went Crazy,Teddy Swims,,06/06/2025,183034,61,,Warner Records,,,,,,,,,,,,
Sapphire,Sapphire,Ed Sheeran,,05/06/2025,179082,81,soft pop,Gingerbread Man Records / Atlantic Records UK,,,,,,,,,,,,
Touch Me Like a Gangster,Touch Me Like a Gangster,Jessie Murph,,06/06/2025,163930,64,,Columbia,,,,,,,,,,,,
Typa,Typa,GloRilla,,06/06/2025,124137,69,,CMG/Interscope Records,,,,,,,,,,,,
"Sharks (feat. Jelly Roll, Big Sean)",Tha Carter VI,Lil Wayne;Jelly Roll;Big Sean,,06/06/2025,229759,53,"rap,hip hop,country hip-hop,country",Lil Wayne PD 2025,,,,,,,,,,,,
Nettles,Nettles,Ethel Cain,,04/06/2025,483692,20,southern gothic,Daughters of Cain Records,,,,,,,,,,,,
Comin' In Cold,Comin' In Cold,Bailey Zimmerman,,06/06/2025,180000,55,country,Atlantic Records/Warner Records Nashville,,,,,,,,,,,,
Incomprehensible,Incomprehensible,Big Thief,,03/06/2025,233307,54,,4AD,,,,,,,,,,,,
Type Dangerous,Type Dangerous,Mariah Carey,,06/06/2025,175788,55,christmas,MARIAH under exclusive license to gamma.,,,,,,,,,,,,
ALL I WANT IS YOU,ALL I WANT IS YOU,The Kid LAROI,,06/06/2025,135570,60,,Columbia,,,,,,,,,,,,
Asquerosamente Rico,"Rico o Muerto, Vol. 1",Oscar Maydon;Peso Pluma,,06/06/2025,195314,75,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,sad sierreño,sierreño,música mexicana,banda",Rancho Humilde/Sony Music Latin,,,,,,,,,,,,
Old Habits,Out Of The Blue,Waylon Wyatt,,06/06/2025,228247,55,country,Music Soup/Darkroom Records,,,,,,,,,,,,
Save My Love (with Ellie Goulding & AVAION),Save My Love (with Ellie Goulding & AVAION),Marshmello;Ellie Goulding;AVAION,,06/06/2025,215555,68,"edm,deep house,stutter house","Joytime Collective, under exclusive license to Interscope Records and Polydor Records",,,,,,,,,,,,
Anticipate,Anticipate,El Michels Affair;Clairo,,02/06/2025,189284,55,bedroom pop,Big Crown Records,,,,,,,,,,,,
Millions,Copper Changes Color,Caamp,,06/06/2025,252666,40,"indie folk,folk",Mom+Pop,,,,,,,,,,,,
Savana,Savana,Chris Lake,,06/06/2025,150113,54,"tech house,house,bass house",Black Book Records,,,,,,,,,,,,
Murda,Murda,Lil Yachty,,06/06/2025,121690,56,,Quality Control Music/Motown Records,,,,,,,,,,,,
Lion,Lotus,Little Simz;Obongjayar,,06/06/2025,177718,55,alté,Little Simz,,,,,,,,,,,,
Sirenita,Sirenita,Ozuna,,05/06/2025,169478,61,"reggaeton,trap latino,latin,urbano latino",Nibiru International/Sony Music Latin,,,,,,,,,,,,
ALL IN,ALL IN,Ty Dolla $ign,,06/06/2025,136087,48,trap soul,Atlantic Records,,,,,,,,,,,,
The Little Mess You Made,The Little Mess You Made,The Favors;FINNEAS;Ashe,,06/06/2025,201284,61,,Darkroom Records,,,,,,,,,,,,
Chameleon,Chameleon,Alemeda;Rachel Chinouriri,,06/06/2025,146719,41,,Warner Records,,,,,,,,,,,,
ON AND ON (Song for Jasmin),Nostalgia,Mother Mother,,06/06/2025,151030,44,,WM Canada,,,,,,,,,,,,
Jesus Wouldn't Do,Jesus Wouldn't Do,Jordan Davis,,06/06/2025,183973,41,"country,pop country",MCA Nashville,,,,,,,,,,,,
Sweet Lady,Sweet Lady,Dylan Gossett,,06/06/2025,179022,55,country,Dylan Gossett,,,,,,,,,,,,
Cruel Love,Cruel Love,Leon Vynehall;Beau Nox,,06/06/2025,279067,39,"lo-fi house,deep house",Ooze INC,,,,,,,,,,,,
Pick Up The Phone,Pick Up The Phone,Sofi Tukker;Nonô,,04/06/2025,211510,61,,Animal Talk Records,,,,,,,,,,,,
Replay,Square Houze Vol. 1,Yandel;Dei V;Square Houze,,06/06/2025,192650,36,"reggaeton,urbano latino,latin,trap latino,latin afrobeats",WEA Latina,,,,,,,,,,,,
I <3 YOU,PRINCESS OF POWER,MARINA,,06/06/2025,216356,57,,BMG Rights Management (UK) Ltd.,,,,,,,,,,,,
