Rank,Track Name,Album Name,Artist Name(s),English Name Signals?,Release Date,Duration (ms),Popularity,Genres,Record Label
1,FXCK UP THE WORLD (feat. Future),Alter Ego,LISA;Future,,28/02/2025,184155,71,"k-pop,rap",Lloud Co./RCA Records
2,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,Benson Boone,,27/02/2025,156582,73,,"Night Street Records, Inc./Warner Records Inc."
3,Siren sounds (bonus),So Close To What,Tate McRae,,24/02/2025,183747,76,,RCA Records Label
4,Chemistry,Chemistry,Gigi Perez,,28/02/2025,284137,56,,Gigi Perez PS/ Island
5,cLOUDs,cLOUDs,J. Cole,,21/02/2025,242086,67,rap,"Cole World, Inc. under exclusive license to Interscope Records"
6,Love in Real Life,Love in Real Life,Lizzo,,28/02/2025,154297,47,,Nice Life/Atlantic
7,Not At This Party,Not At This Party,Dasha,,28/02/2025,212437,69,,Warner Records
8,Crashing (with Kali Uchis),Crashing (with Kali Uchis),d4vd;Kali Uchis,,28/02/2025,187660,31,,Darkroom/Interscope Records
9,Bleed (feat. Omar Apollo),Bleed (feat. Omar Apollo),Malcolm Todd;Omar Apollo,,28/02/2025,179373,63,bedroom pop,Columbia
10,Sum Out Of Nun,Sum Out Of Nun,BossMan Dlow,,27/02/2025,128000,39,,Alamo
11,NOS DESCONOXIMOS,NOS DESCONOXIMOS,Feid,,28/02/2025,168099,55,"reggaeton,urbano latino",FEID
12,Flood,Flood,Little Simz;Obongjayar;Moonchild Sanelly,,26/02/2025,167544,41,"alté,gqom",Little Simz
13,Delete Ya,Delete Ya,Djo,,27/02/2025,203349,58,,Djo
14,safeword,safeword,Halsey,,27/02/2025,133639,47,,Columbia
15,Praise,Sinister Grift,Panda Bear,,28/02/2025,211126,46,neo-psychedelic,Domino Recording Co
16,Proud Of Me (feat. Meek Mill),"Some Days I’m Good, Some Days I’m Not",Fridayy;Meek Mill,,28/02/2025,230720,63,rap,FRIDAYY PS/ Def Jam
17,Apex,Apex,Lil Tjay,,28/02/2025,127308,52,"brooklyn drill,melodic rap",TrenchKid Records
18,Wifey Riddim,Wifey Riddim,Shygirl;Club Shy;Jorja Smith;SadBoi,,26/02/2025,148054,43,"hyperpop,sexy drill,uk garage",Because Music Ltd.
19,Next Summer,Next Summer,Damiano David,,28/02/2025,165676,68,,Sony Music Italy / Arista Records
20,TATTOO,TATTOO,Tito Double P,,27/02/2025,167955,82,"corrido,corridos tumbados,corridos bélicos,electro corridos,dembow belico,música mexicana",Double P Records
21,Lonely Mountain Town,Lonely Mountain Town,Charles Wesley Godwin,,28/02/2025,230590,51,"red dirt,country",Big Loud Records
22,Brain Dead,Brain Dead,Architects;House of Protection,,26/02/2025,168933,40,"metalcore,djent,metal,mathcore,post-hardcore,deathcore",Epitaph
23,Flowers,Flowers,Nathaniel Rateliff;Gregory Alan Isakov,,24/02/2025,240629,57,"indie folk,americana,folk,folk pop",Stax
24,Hands,Hands,Alex Isley,,28/02/2025,172444,44,"neo soul,alternative r&b",Free Lunch/Warner Records
25,Babydoll (feat. Aliyah’s Interlude),Babydoll (feat. Aliyah’s Interlude),Grace VanderWaal;Aliyah's Interlude,,28/02/2025,150495,30,,PULSE Records
26,Fashion Model (feat. Jorjiana),Zombie Love Kensington Paradise (Deluxe),Skrilla;Jorjiana,,28/02/2025,104852,37,,Priority Records
27,2025 Freestyle,2025 Freestyle,Luh Tyler,,28/02/2025,159451,30,,Motion Music/Atlantic
28,"Radio (feat. Trippie Redd, Jessica Baio & KABU)","Radio (feat. Trippie Redd, Jessica Baio & KABU)",Steve Aoki;Trippie Redd;Jessica Baio;KABU,,28/02/2025,149333,42,"electro house,edm,melodic rap",DJ Kid Millionaire Ltd
29,Cinderella,Cinderella,Model/Actriz,,25/02/2025,274012,29,"noise rock,industrial rock,post-punk",Dirty Hit
30,Salvation,SALVATION,Rebecca Black,,27/02/2025,200866,49,hyperpop,Rebecca Black
31,MAL DE AMORES,MAL DE AMORES,Myke Towers;Junior H;The Rudeboyz,,27/02/2025,210000,61,"reggaeton,trap latino,urbano latino,corridos tumbados,corrido,corridos bélicos,sad sierreño,sierreño,música mexicana,banda",WEA Latina
32,Slow It Down (with Cruza & Isaiah Falls),Slow It Down (with Cruza & Isaiah Falls),Joe Kay;Isaiah Falls;Cruza,,28/02/2025,146594,45,"dark r&b,alternative r&b",Soulection Records/COLTURE
33,5 Night,5 Night,YoungBoy Never Broke Again,,28/02/2025,192000,42,,"Never Broke Again, LLC/Motown Records"
34,Worm in the Sun,Worm in the Sun,ALEXSUCKS,,28/02/2025,161240,48,,Warner Records
35,confession,confession,girl in red,,28/02/2025,84578,48,bedroom pop,Columbia
36,Lifeline,Lifeline,Jonas Blue;Izzy Bizu,,28/02/2025,199756,54,tropical house,Positiva
37,Sounds Like Something I'd Say (Feat. Parker McCollum),Sounds Like Something I'd Say (Feat. Parker McCollum),Kassi Ashton;Parker McCollum,,28/02/2025,200773,51,"pop country,texas country,red dirt,country",Kassi Ashton PS
38,Replay,Replay,Cynthia Erivo,,28/02/2025,220036,41,musicals,Cynthia Erivo
39,Flyover State,Flyover State,Michael Marcagi,,28/02/2025,195766,46,,Warner Records
40,Moncler,Moncler,Nicky Jam,,26/02/2025,134545,0,"reggaeton,latin",Nicky Jam
41,ATE,ATE,TiaCorine,,28/02/2025,149338,35,,South Coast Music Group/Interscope Records
42,"Hell suite, Pt. II","Hell suite, Pt. II",DARKSIDE,,25/02/2025,228750,19,downtempo,Matador
43,Raf,Raf,Carlita;Andre Zimmer,,27/02/2025,263231,34,"melodic house,hard house",fabric Records
44,things i want,things i want,Esha Tewari,,27/02/2025,223455,0,,Esha Tewari
45,So Beautiful,So Beautiful,Johnny Venus;6LACK,,28/02/2025,227649,44,,Epic
46,Tell Me,Tell Me,Karan Aujla;OneRepublic;Ikky,,27/02/2025,186923,60,"punjabi pop,punjabi hip hop,bhangra,desi hip hop,desi,soft pop",WM Canada
47,PAPERCUTS,PAPERCUTS,WesGhost,,28/02/2025,175542,44,,Columbia
48,Face Like Yours,Face Like Yours,Alex Porat,,28/02/2025,161196,40,,Alex Porat
49,Lamb Talk,Lamb Talk,Mike Dimes,,28/02/2025,158797,43,,ꓘastaway
50,Cheat Codes (feat. Bossman Dlow),Porch 2 The Pent,1900Rugrat;BossMan Dlow,,28/02/2025,194594,57,,Remain Solid / 300 Ent
51,style,style,2hollis,,28/02/2025,99253,62,"hyperpop,electroclash",2hollis under exclusive license to Interscope Records
52,System Shock,System Shock,Subtronics;Hedex;IRAH,,28/02/2025,136688,48,"riddim,dubstep,edm,deathstep,bass music,dub,drum and bass,bassline,jungle",Helix Records
53,Fun Times,Fun Times,Marie Davidson,,26/02/2025,253573,25,electroclash,Marie Davidson
